tweets,id,name,location,coordinates,created_at,favorite_count,geo,place,source,clean_tweets
"RT @likelydani: Dani’s #WeirdWeekGiveaway Day 2:

• rt this to win the yungblud facemask
• make sure you’re following me
• reply and tag a…",1.2578212427129037e+18,em! || stan bears in trees! ♡,she/they || 𝟹𝟶.𝟷.𝟸𝟶 ,,2020-05-05,0.0,,,Twitter for iPhone,rt likelydani dani weirdweekgiveaway day rt win yungblud facemask make sure following reply tag
"RT @TrumperSeaney: Schmuck @chuckschumer wants our ENTIRE #USA population to be tested DAILY. Did you hear that everyone? 🤣
HOW ELSE would…",1.2578212306793718e+18,𝐉𝐢𝐥𝐥,Great State Of Texas,,2020-05-05,0.0,,,Twitter for iPhone,rt trumperseaney schmuck chuckschumer wants entire usa population tested daily hear everyone else would
"Great leader! Stable genius!

#Trump #facemask #CoronaVirus #dumb  https://t.co/wLHTJaIGUa",1.2578211898478756e+18,Stuart’s Notes,NYC,,2020-05-05,0.0,,,Twitter for iPad,great leader stable genius trump facemask coronavirus dumb https co wlhtjaigua
"RT @OnicaCupido: Did you enter to win a  #blackpanther kids #facemask via @thirtymommy Low entries! 
#health #kidsmasks #QuarantineLife htt…",1.2578211623373824e+18,Lauren Beth,"New York, NY Tri Sate Area NYC",,2020-05-05,0.0,,,Twitter for Android,rt onicacupido enter win blackpanther kids facemask via thirtymommy low entries health kidsmasks quarantinelife htt
"RT @ImJohnEli: LMAO! LOL!
Neither Trump, his entourage, nor the company execs of a FACEMASK COMPANY wore face masks as Trump toured the fac…",1.2578211520277012e+18,The Abominable Dr. Phibes,Gobbler's Knob,,2020-05-05,0.0,,,Twitter for Android,rt imjohneli lmao lol neither trump entourage company execs facemask company wore face masks trump toured fac
The mysterious protection President Trump and his staff have in their health. This is strange having a CDC recommen… https://t.co/7aksdOs73P,1.257821102299988e+18,NEWS TODAY WORLD WIDE,Estados Unidos,,2020-05-05,0.0,,,Twitter Web App,mysterious protection president trump staff health strange cdc recommen https co aksdos p
"RT @TrumperSeaney: Schmuck @chuckschumer wants our ENTIRE #USA population to be tested DAILY. Did you hear that everyone? 🤣
HOW ELSE would…",1.2578210965286052e+18,C's,,,2020-05-05,0.0,,,Twitter for Android,rt trumperseaney schmuck chuckschumer wants entire usa population tested daily hear everyone else would
Shout-out to our freinds maceooshirts  for being featured on #forbes &amp; #usweekly for their #facemask donation proje… https://t.co/kK8020GNRY,1.2578210449428562e+18,Alexander Eton,"Cary, NC",,2020-05-05,0.0,,,Instagram,shout freinds maceooshirts featured forbes usweekly facemask donation proje https co kk gnry
RT @TylerGlaiel: need a better facemask to put this thing in but the proof of concept is working for now! https://t.co/elxf5rof8S,1.257821021178073e+18,Shadow Zahara,penistown,,2020-05-05,0.0,,,Twitter Web App,rt tylerglaiel need better facemask put thing proof concept working https co elxf rof
"RT @MPsantoshtrs: As per the instructions of Honble CM KCR sir, FaceMask, Sanitizer, Food &amp; Water has been provided to all migrant workers…",1.25782098725863e+18,Rizwananwar,,,2020-05-05,0.0,,,Twitter for Android,rt mpsantoshtrs per instructions honble cm kcr sir facemask sanitizer food water provided migrant workers
akhirnya gue beli maybeline sama facemask. hahahah,1.2578208970852393e+18,V,대한민국 강남구,,2020-05-05,0.0,,,Twitter for Android,akhirnya gue beli maybeline sama facemask hahahah
"RT @TrumperSeaney: Schmuck @chuckschumer wants our ENTIRE #USA population to be tested DAILY. Did you hear that everyone? 🤣
HOW ELSE would…",1.2578208760172667e+18,Arkie girl,"The Natural State, USA",,2020-05-05,0.0,,,Twitter for Android,rt trumperseaney schmuck chuckschumer wants entire usa population tested daily hear everyone else would
@dancingonapin @ZacharyDesai @ScottPresler Sure if I’m kissing you. Or licking my fingers and touching you. Shelly… https://t.co/B7iAf269Za,1.2578208430333993e+18,saj9291113,"Buffalo Grove, IL",,2020-05-05,8.0,,,Twitter for iPhone,dancingonapin zacharydesai scottpresler sure kissing licking fingers touching shelly https co b iaf za
Shipping In 1 day. Cotton Reusable Non-Medical Grade Face Mask https://t.co/Y1d4HH5wbk #masks #etsy #Reusable #facemask,1.2578208134551306e+18,Betsy B.,"Kentucky, USA",,2020-05-05,19.0,,,Twitter Web App,shipping day cotton reusable non medical grade face mask https co hh wbk masks etsy reusable facemask
"Wearing a facemask is like wearing deodorant - it’s for the people around. 

Protecting others around you from the… https://t.co/cRKYJ9OXPs",1.2578208004778844e+18,Ilya Alexeeff,Bay Area,,2020-05-05,3.0,,,Twitter for iPhone,wearing facemask like wearing deodorant people around protecting others around https co crkyj oxps
"RT @MPsantoshtrs: As per the instructions of Honble CM KCR sir, FaceMask, Sanitizer, Food &amp; Water has been provided to all migrant workers…",1.257820791258792e+18,Trústèd Éñémy,India,,2020-05-05,0.0,,,Twitter for Android,rt mpsantoshtrs per instructions honble cm kcr sir facemask sanitizer food water provided migrant workers
Another twist to our new design.  Working on having a few more color options in stock shortly.  Keep an eye out for… https://t.co/OtVmyZavf5,1.2578207816623063e+18,Leather Masters,"Dallas, TX","{'type': 'Point', 'coordinates': [-96.6797152, 32.8695093]}",2020-05-05,3.0,"{'type': 'Point', 'coordinates': [32.8695093, -96.6797152]}","Place(_api=<tweepy.api.API object at 0x11430af10>, id='18810aa5b43e76c7', url='https://api.twitter.com/1.1/geo/id/18810aa5b43e76c7.json', place_type='city', name='Dallas', full_name='Dallas, TX', country_code='US', country='United States', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x11430af10>, type='Polygon', coordinates=[[[-96.977527, 32.620678], [-96.54598, 32.620678], [-96.54598, 33.019039], [-96.977527, 33.019039]]]), attributes={})",Hootsuite Inc.,another twist new design working color options stock shortly keep eye https co otvmyzavf
"#TuesdayThoughts #TuesdayMotivation #facemask #AlexPreiss #Australia #TravelPhotography
Anchor 3 - Wreck Beach… https://t.co/41NiskIUUl",1.2578207673135186e+18,Alex Preiss,"Honolulu, HI",,2020-05-05,0.0,,,Twitter Web Client,tuesdaythoughts tuesdaymotivation facemask alexpreiss australia travelphotography anchor wreck beach https co niskiuul
"RT @ImJohnEli: LMAO! LOL!
Neither Trump, his entourage, nor the company execs of a FACEMASK COMPANY wore face masks as Trump toured the fac…",1.2578207648264724e+18,JohnEli,Necker Island,,2020-05-05,0.0,,,Twitter for iPhone,rt imjohneli lmao lol neither trump entourage company execs facemask company wore face masks trump toured fac
RT @MarisaLR2: @NatSecLisa Maybe Hil's will spot you a custom facemask you can wear together and be twins at Gitmo🤷‍♀️. That is if you're l…,1.257820764310471e+18,Terry Ford 🇺🇸@MAGA🇮🇱 Christian ✝️⚾️,"Florida, USA",,2020-05-05,0.0,,,Twitter for Android,rt marisalr natseclisa maybe hil spot custom facemask wear together twins gitmo l
"RT @TrumperSeaney: Schmuck @chuckschumer wants our ENTIRE #USA population to be tested DAILY. Did you hear that everyone? 🤣
HOW ELSE would…",1.257820744421081e+18,Dianne Zdanowicz,,,2020-05-05,0.0,,,Twitter for Android,rt trumperseaney schmuck chuckschumer wants entire usa population tested daily hear everyone else would
RT @TylerGlaiel: need a better facemask to put this thing in but the proof of concept is working for now! https://t.co/elxf5rof8S,1.257820740323246e+18,Deadly Headshot,GB,,2020-05-05,0.0,,,Twitter Web App,rt tylerglaiel need better facemask put thing proof concept working https co elxf rof
@dbongino @JudgeMoye looks fine with the white KKK facemask!,1.2578205279320433e+18,Steven Schumann,"Grover Beach to Nipomo, CA",,2020-05-05,0.0,,,Twitter Web App,dbongino judgemoye looks fine white kkk facemask
"Oh my God, What's wrong with this people?
Republican Lawmaker Says He Won't Wear Facemask Because God Doesn't Wear.… https://t.co/VcWDF0RFxk",1.257820452208038e+18,Moses Cabrera,"Kansas City, KS",,2020-05-05,0.0,,,Twitter Web Client,oh god wrong people republican lawmaker says wear facemask god wear https co vcwdf rfxk
"RT @TrumperSeaney: Schmuck @chuckschumer wants our ENTIRE #USA population to be tested DAILY. Did you hear that everyone? 🤣
HOW ELSE would…",1.257820381970219e+18,🇺🇸🙏🏻✝ Linda Liberty ✝🙏🏻🇺🇸 ⭐⭐⭐,"Oregon, USA",,2020-05-05,0.0,,,Twitter for Android,rt trumperseaney schmuck chuckschumer wants entire usa population tested daily hear everyone else would
