,tweets,id,name,location,coordinates,created_at,favorite_count,geo,place,source,gps
3581,"https://t.co/acQ97bw61n #bioglitter #handsanitizer #oceansparkles #misstheocean @ Queensbury, New York https://t.co/ZWjclBYbzF",1.2603298489601477e+18,Kelli Hatin,"Queensbury, New York","{'type': 'Point', 'coordinates': [-73.6136, 43.3772]}",2020-05-12,0.0,"{'type': 'Point', 'coordinates': [43.3772, -73.6136]}","Place(_api=<tweepy.api.API object at 0x11430af10>, id='00d100d31d7ba850', url='https://api.twitter.com/1.1/geo/id/00d100d31d7ba850.json', place_type='city', name='Queensbury', full_name='Queensbury, NY', country_code='US', country='United States', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x11430af10>, type='Polygon', coordinates=[[[-73.684795, 43.318181], [-73.60886, 43.318181], [-73.60886, 43.385954], [-73.684795, 43.385954]]]), attributes={})",Instagram,"[43.3520675, -73.6468275]"
3587,"⁣
Got the essentials on deck, anyone make cocktails with this? I kid.... I kid.... 🙃 ⁣

Always, Whiskey Love 🥃⁣… https://t.co/YM5PA5Vdhf",1.2603233670659604e+18,FaKa,"Centerville, OH","{'type': 'Point', 'coordinates': [-84.1965, 39.7603]}",2020-05-12,0.0,"{'type': 'Point', 'coordinates': [39.7603, -84.1965]}","Place(_api=<tweepy.api.API object at 0x11430af10>, id='8d742fb555fbff21', url='https://api.twitter.com/1.1/geo/id/8d742fb555fbff21.json', place_type='city', name='Dayton', full_name='Dayton, OH', country_code='US', country='United States', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x11430af10>, type='Polygon', coordinates=[[[-84.307688, 39.695193], [-84.093044, 39.695193], [-84.093044, 39.865523], [-84.307688, 39.865523]]]), attributes={})",Instagram,"[39.780358, -84.200366]"
3599,"Lavender Lemon Drop | Hanitizer 🍋🟣
Link in bio to buy! 
#jackspicerreport #handsanitizer #homemade #dc #handmade… https://t.co/oqos6U7lPy",1.2603144090183148e+18,Jack Spicer Report,"Washington, DC",,2020-05-12,0.0,,"Place(_api=<tweepy.api.API object at 0x11430af10>, id='01fbe706f872cb32', url='https://api.twitter.com/1.1/geo/id/01fbe706f872cb32.json', place_type='city', name='Washington', full_name='Washington, DC', country_code='US', country='United States', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x11430af10>, type='Polygon', coordinates=[[[-77.119401, 38.801826], [-76.909396, 38.801826], [-76.909396, 38.9953797], [-77.119401, 38.9953797]]]), attributes={})",Twitter for iPhone,"[38.89860285, -77.0143985]"
3602,New from thenakedbeeofficial #handsanitizer and a new #lotion fragence Vanilla Rose and honey!! Call and order your… https://t.co/Rj251fBqCW,1.260313663216337e+18,Das Gift Haus,"Sault Ste Marie, Michigan","{'type': 'Point', 'coordinates': [-84.34907913, 46.50105096]}",2020-05-12,0.0,"{'type': 'Point', 'coordinates': [46.50105096, -84.34907913]}","Place(_api=<tweepy.api.API object at 0x11430af10>, id='66a04e4c9e4a39d4', url='https://api.twitter.com/1.1/geo/id/66a04e4c9e4a39d4.json', place_type='city', name='Sault Ste Marie', full_name='Sault Ste Marie, MI', country_code='US', country='United States', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x11430af10>, type='Polygon', coordinates=[[[-84.454161, 46.455438], [-84.300045, 46.455438], [-84.300045, 46.5023156], [-84.454161, 46.5023156]]]), attributes={})",Instagram,"[46.4788768, -84.377103]"
3630,"https://t.co/Uqaf2dAH22

#handsanitizer #handsanitizermurah https://t.co/MKzEQ5btRr",1.260294859576889e+18,👋,Kabupaten Karawang ,,2020-05-12,0.0,,"Place(_api=<tweepy.api.API object at 0x11430af10>, id='37da2c68b163e566', url='https://api.twitter.com/1.1/geo/id/37da2c68b163e566.json', place_type='city', name='Cilegon', full_name='Cilegon, Indonesia', country_code='ID', country='Indonesia', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x11430af10>, type='Polygon', coordinates=[[[106.007174, -6.092782], [106.089529, -6.092782], [106.089529, -5.990549], [106.007174, -5.990549]]]), attributes={})",Twitter for Android,"[-6.041665500000001, 106.04835150000001]"
3636,At Fan/Joy your health and well being is our top priority!  Just one more step as we are thrilled to help you now s… https://t.co/276BWBqgiA,1.2602890548658504e+18,Chef Pam Fanjoy,"Hillsburgh, Ontario","{'type': 'Point', 'coordinates': [-80.14427771, 43.79039901]}",2020-05-12,0.0,"{'type': 'Point', 'coordinates': [43.79039901, -80.14427771]}","Place(_api=<tweepy.api.API object at 0x11430af10>, id='3cffb3c63c58fc43', url='https://api.twitter.com/1.1/geo/id/3cffb3c63c58fc43.json', place_type='city', name='Erin', full_name='Erin, Ontario', country_code='CA', country='Canada', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x11430af10>, type='Polygon', coordinates=[[[-80.261507, 43.62907], [-79.969001, 43.62907], [-79.969001, 43.861539], [-80.261507, 43.861539]]]), attributes={})",Instagram,"[43.745304499999996, -80.115254]"
3641,We have hand sanitizer!  Pick yours up at your next appointment!  #HandSanitizer #CleanHands #HealthyTeeth #Dentist… https://t.co/xw7y5fWkRX,1.2602848561787863e+18,Nurture Dental Health,"Allentown, PA",,2020-05-12,0.0,,"Place(_api=<tweepy.api.API object at 0x11430af10>, id='102324ce48d4f001', url='https://api.twitter.com/1.1/geo/id/102324ce48d4f001.json', place_type='poi', name='Nurture Dental Health', full_name='Nurture Dental Health', country_code='US', country='United States', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x11430af10>, type='Polygon', coordinates=[[[-75.5588775, 40.5833894], [-75.5588775, 40.5833894], [-75.5588775, 40.5833894], [-75.5588775, 40.5833894]]]), attributes={})",Twitter for iPhone,"[40.5833894, -75.5588775]"
3660,Whoever came up with modifying a hi-hat stand to serve as a foot operated #handsanitizer dispenser has won the Inte… https://t.co/VNCwDiXznw,1.2602713662526956e+18,Brent,"41.2586° N, 95.9375° W",,2020-05-12,10.0,,"Place(_api=<tweepy.api.API object at 0x11430af10>, id='a84b808ce3f11719', url='https://api.twitter.com/1.1/geo/id/a84b808ce3f11719.json', place_type='city', name='Omaha', full_name='Omaha, NE', country_code='US', country='United States', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x11430af10>, type='Polygon', coordinates=[[[-96.234587, 41.175884], [-95.872275, 41.175884], [-95.872275, 41.375558], [-96.234587, 41.375558]]]), attributes={})",Twitter for iPhone,"[41.275721000000004, -96.05343100000002]"
3708,"Making sure all our motorsports friends are clean and ready to open back up.
.
.
.
It's a new world, but keeping yo… https://t.co/Ur7YcrGIV2",1.259962903194669e+18,Molecule,"San Clemente, CA","{'type': 'Point', 'coordinates': [-115.05810742, 36.18905773]}",2020-05-11,1.0,"{'type': 'Point', 'coordinates': [36.18905773, -115.05810742]}","Place(_api=<tweepy.api.API object at 0x11430af10>, id='a1839e9c3b5abff6', url='https://api.twitter.com/1.1/geo/id/a1839e9c3b5abff6.json', place_type='city', name='Sunrise Manor', full_name='Sunrise Manor, NV', country_code='US', country='United States', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x11430af10>, type='Polygon', coordinates=[[[-115.116116, 36.1075816], [-115.006139, 36.1075816], [-115.006139, 36.2619262], [-115.116116, 36.2619262]]]), attributes={})",Instagram,"[36.184753900000004, -115.0611275]"
3715,"Thanks to @CaseysCut
For doing their part to help during this time. This was a great deal and will insure i have pl… https://t.co/U4GJihv8ZJ",1.2599583203387884e+18,Chelsea Hair Design,PR @ Partners - North Bethesda,"{'type': 'Point', 'coordinates': [-77.094765, 38.983669]}",2020-05-11,0.0,"{'type': 'Point', 'coordinates': [38.983669, -77.094765]}","Place(_api=<tweepy.api.API object at 0x11430af10>, id='864ff125241f172f', url='https://api.twitter.com/1.1/geo/id/864ff125241f172f.json', place_type='city', name='Bethesda', full_name='Bethesda, MD', country_code='US', country='United States', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x11430af10>, type='Polygon', coordinates=[[[-77.158594, 38.940225], [-77.078411, 38.940225], [-77.078411, 39.0224493], [-77.158594, 39.0224493]]]), attributes={})",Instagram,"[38.98133715, -77.1185025]"
3751,As we have been cleaning our house during #StayHome - I have been some what shocked as to how much stuff we have th… https://t.co/Hg9W59XWHY,1.2599336237817487e+18,Richard Costigan,"Sacramento, CA",,2020-05-11,0.0,,"Place(_api=<tweepy.api.API object at 0x11430af10>, id='01b4481d283c3d09', url='https://api.twitter.com/1.1/geo/id/01b4481d283c3d09.json', place_type='city', name='Granite Bay', full_name='Granite Bay, CA', country_code='US', country='United States', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x11430af10>, type='Polygon', coordinates=[[[-121.226663, 38.712987], [-121.105833, 38.712987], [-121.105833, 38.84012], [-121.226663, 38.84012]]]), attributes={})",Twitter for iPhone,"[38.7765535, -121.166248]"
