,tweets,id,name,location,coordinates,created_at,favorite_count,geo,place,source,gps
3932,Very easy to start shopping for your essentials now click bio and do not wait may run out fast click SELF CARE and… https://t.co/ZUi3m9Qhzw,1.2591819599574057e+18,Rocio Zegarra,"Queens, NY","{'type': 'Point', 'coordinates': [-74.0064, 40.7142]}",2020-05-09,0.0,"{'type': 'Point', 'coordinates': [40.7142, -74.0064]}","Place(_api=<tweepy.api.API object at 0x11430af10>, id='01a9a39529b27f36', url='https://api.twitter.com/1.1/geo/id/01a9a39529b27f36.json', place_type='city', name='Manhattan', full_name='Manhattan, NY', country_code='US', country='United States', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x11430af10>, type='Polygon', coordinates=[[[-74.026675, 40.683935], [-73.910408, 40.683935], [-73.910408, 40.877483], [-74.026675, 40.877483]]]), attributes={})",Instagram,"[40.780709, -73.9685415]"
3969,"Our New Radio Commercial 

Zakia Miami Organic Hand Sanitizer SAVINGS on 101.5 Lite FM Miami

Buy Online… https://t.co/FS8ZJ5j5b7",1.2588993731294454e+18,ZMcare ®,Miami,,2020-05-08,12.0,,"Place(_api=<tweepy.api.API object at 0x11430af10>, id='113721dd6dd79001', url='https://api.twitter.com/1.1/geo/id/113721dd6dd79001.json', place_type='poi', name='Zakia Miami', full_name='Zakia Miami', country_code='US', country='United States', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x11430af10>, type='Polygon', coordinates=[[[-80.096419, 26.275662], [-80.096419, 26.275662], [-80.096419, 26.275662], [-80.096419, 26.275662]]]), attributes={})",Twitter for iPhone,"[26.275662, -80.096419]"
4003,Looking for #handsanitizer? Just bought some from #rosecitydistilling.  We are now offering #halfpints (8oz) contai… https://t.co/gUjxDnn3eK,1.2588675438061814e+18,Tapphoria,13815 SW Pacific Hwy Suite 40 ,"{'type': 'Point', 'coordinates': [-122.78649566, 45.4201767]}",2020-05-08,0.0,"{'type': 'Point', 'coordinates': [45.4201767, -122.78649566]}","Place(_api=<tweepy.api.API object at 0x11430af10>, id='d1f122645b638aec', url='https://api.twitter.com/1.1/geo/id/d1f122645b638aec.json', place_type='city', name='Tigard', full_name='Tigard, OR', country_code='US', country='United States', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x11430af10>, type='Polygon', coordinates=[[[-122.8401675, 45.393108], [-122.74354, 45.393108], [-122.74354, 45.456634], [-122.8401675, 45.456634]]]), attributes={})",Instagram,"[45.424871, -122.79185375]"
4017,Sneak peek! Bottling sanitizer for tomorrow! Sales of #handsanitizer and #CarolinaRum Wednesdays &amp; Saturdays 12-5pm… https://t.co/88SnZn07KK,1.2588585530472038e+18,MuddyRiverDistillery,"Belmont, North Carolina",,2020-05-08,8.0,,"Place(_api=<tweepy.api.API object at 0x11430af10>, id='1153d1a598a817b1', url='https://api.twitter.com/1.1/geo/id/1153d1a598a817b1.json', place_type='city', name='Belmont', full_name='Belmont, NC', country_code='US', country='United States', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x11430af10>, type='Polygon', coordinates=[[[-81.066211, 35.167439], [-81.009442, 35.167439], [-81.009442, 35.285384], [-81.066211, 35.285384]]]), attributes={})",Twitter for Android,"[35.2264115, -81.0378265]"
4078,Get your chihaircare #handsanitizer while supplies last!  Shop at kossofbeauty or call/text for #curbsidepickup… https://t.co/OrvxKnPEXH,1.258518257306198e+18,Teddie Kossof Salon Spa,281 N. Waukegan Rd. Northfield,"{'type': 'Point', 'coordinates': [-87.8311, 42.1296]}",2020-05-07,0.0,"{'type': 'Point', 'coordinates': [42.1296, -87.8311]}","Place(_api=<tweepy.api.API object at 0x11430af10>, id='ecbe21c16e88f161', url='https://api.twitter.com/1.1/geo/id/ecbe21c16e88f161.json', place_type='city', name='Northbrook', full_name='Northbrook, IL', country_code='US', country='United States', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x11430af10>, type='Polygon', coordinates=[[[-87.910507, 42.0983323], [-87.77999, 42.0983323], [-87.77999, 42.153178], [-87.910507, 42.153178]]]), attributes={})",Instagram,"[42.12575515, -87.8452485]"
4097,"I sell Hand sanitizer
Very effective and affordable.

DM or call the number.

#handsanitizer
#istandwithbuhari… https://t.co/MQib0PYhjz",1.2585030805487124e+18,Dayour,Lagos,,2020-05-07,0.0,,"Place(_api=<tweepy.api.API object at 0x11430af10>, id='011a942e0a0e8fb2', url='https://api.twitter.com/1.1/geo/id/011a942e0a0e8fb2.json', place_type='admin', name='Lagos', full_name='Lagos, Nigeria', country_code='NG', country='Nigeria', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x11430af10>, type='Polygon', coordinates=[[[2.7063037, 6.3703877], [4.350022, 6.3703877], [4.350022, 6.6985461], [2.7063037, 6.6985461]]]), attributes={})",Twitter for Android,"[6.5344669, 3.52816285]"
4123,"EFFECTIVE &amp; AFFORDABLE HAND SANITIZER

#handsanitizer
#staysafe
#sanitizer @ Lagos, Nigeria https://t.co/Laj8MpsD7z",1.258482190989562e+18,Dayour,Lagos,"{'type': 'Point', 'coordinates': [3.39583, 6.45306]}",2020-05-07,0.0,"{'type': 'Point', 'coordinates': [6.45306, 3.39583]}","Place(_api=<tweepy.api.API object at 0x11430af10>, id='00817d75276a95cf', url='https://api.twitter.com/1.1/geo/id/00817d75276a95cf.json', place_type='city', name='Lagos', full_name='Lagos, Nigeria', country_code='NG', country='Nigeria', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x11430af10>, type='Polygon', coordinates=[[[3.2131467, 6.4278856], [3.4640641, 6.4278856], [3.4640641, 6.5583389], [3.2131467, 6.5583389]]]), attributes={})",Instagram,"[6.493112249999999, 3.3386053999999996]"
4129,"@moodsmusic Now Hand Sanitizer, Face Mask &amp; A Good Book While We Stay In #moodsmusic #moodsmusic2… https://t.co/B25ni14Tbo",1.2584755501814497e+18,Darryl Harris,Atlanta,"{'type': 'Point', 'coordinates': [-84.35005, 33.76443]}",2020-05-07,0.0,"{'type': 'Point', 'coordinates': [33.76443, -84.35005]}","Place(_api=<tweepy.api.API object at 0x11430af10>, id='8173485c72e78ca5', url='https://api.twitter.com/1.1/geo/id/8173485c72e78ca5.json', place_type='city', name='Atlanta', full_name='Atlanta, GA', country_code='US', country='United States', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x11430af10>, type='Polygon', coordinates=[[[-84.576827, 33.6475029], [-84.289385, 33.6475029], [-84.289385, 33.8868859], [-84.576827, 33.8868859]]]), attributes={})",Instagram,"[33.7671944, -84.433106]"
4131,"Making our environment as safe and clean as possible for members and guests, as well as taking care of the Huddle t… https://t.co/T3pxbGTKa7",1.2584735591203226e+18,Huddle Sharespace,"Toronto, Ontario",,2020-05-07,0.0,,"Place(_api=<tweepy.api.API object at 0x11430af10>, id='3797791ff9c0e4c6', url='https://api.twitter.com/1.1/geo/id/3797791ff9c0e4c6.json', place_type='city', name='Toronto', full_name='Toronto, Ontario', country_code='CA', country='Canada', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x11430af10>, type='Polygon', coordinates=[[[-79.639319, 43.403221], [-78.90582, 43.403221], [-78.90582, 43.855401], [-79.639319, 43.855401]]]), attributes={})",Twitter for iPhone,"[43.629311, -79.2725695]"
4165,@RalphsGrocery You’re selling hand sanitizer (Ethyl alcohol) packaged in water bottles... #handsanitizer… https://t.co/xomC7PG7vA,1.258154925504127e+18,Andre Aboulian,"Los Angeles, CA",,2020-05-06,0.0,,"Place(_api=<tweepy.api.API object at 0x11430af10>, id='33ea9c2aad1edb4c', url='https://api.twitter.com/1.1/geo/id/33ea9c2aad1edb4c.json', place_type='city', name='La Crescenta-Montrose', full_name='La Crescenta-Montrose, CA', country_code='US', country='United States', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x11430af10>, type='Polygon', coordinates=[[[-118.248823, 34.20542], [-118.221659, 34.20542], [-118.221659, 34.2523315], [-118.248823, 34.2523315]]]), attributes={})",Twitter for iPhone,"[34.22887575, -118.235241]"
4223,"Zakia Miami Hand Sanitizer with Pure Argan Oil, Bestseller on Google! #HandHygiene #HandSanitizer #HandHygieneDay https://t.co/xlhEj4Tct0",1.2580971298951455e+18,Zakia Miami ®,Miami,,2020-05-06,14.0,,"Place(_api=<tweepy.api.API object at 0x11430af10>, id='113721dd6dd79001', url='https://api.twitter.com/1.1/geo/id/113721dd6dd79001.json', place_type='poi', name='Zakia Miami', full_name='Zakia Miami', country_code='US', country='United States', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x11430af10>, type='Polygon', coordinates=[[[-80.096419, 26.275662], [-80.096419, 26.275662], [-80.096419, 26.275662], [-80.096419, 26.275662]]]), attributes={})",Twitter for iPhone,"[26.275662, -80.096419]"
4225,"🆕 Large Sprayable Hand Sanitizing Solution! Available now for New Jersey businesses and residents only! ⁣⁣⁣⁣
⁣⁣⁣⁣
✅… https://t.co/z8xayjlhnr",1.2580966686181704e+18,Gaspar's Best,"North Arlington, NJ",,2020-05-06,0.0,,"Place(_api=<tweepy.api.API object at 0x11430af10>, id='a40210251b0f4e37', url='https://api.twitter.com/1.1/geo/id/a40210251b0f4e37.json', place_type='city', name='North Arlington', full_name='North Arlington, NJ', country_code='US', country='United States', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x11430af10>, type='Polygon', coordinates=[[[-74.1471012, 40.770006], [-74.107229, 40.770006], [-74.107229, 40.804996], [-74.1471012, 40.804996]]]), attributes={})",Twitter for iPhone,"[40.787501000000006, -74.1271651]"
4278,"Celebrating #CincoDeMayo at home on #TacoTuesday and #TakeOutTuesday with #MargsToGo! #ElToro 

#COVID19… https://t.co/ie9STxh6ZS",1.257784402505085e+18,FAITH on FOOD,Hendricks County IN ,,2020-05-05,0.0,,"Place(_api=<tweepy.api.API object at 0x11430af10>, id='00f424d474454ea0', url='https://api.twitter.com/1.1/geo/id/00f424d474454ea0.json', place_type='city', name='Brownsburg', full_name='Brownsburg, IN', country_code='US', country='United States', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x11430af10>, type='Polygon', coordinates=[[[-86.439701, 39.800082], [-86.326794, 39.800082], [-86.326794, 39.912651], [-86.439701, 39.912651]]]), attributes={})",Twitter for iPhone,"[39.8563665, -86.38324750000001]"
4283,The need of the hour is to spread the message and play our part in fighting not only #Covid-19 but any future … https://t.co/HFGjeY0AM6,1.2577809436512911e+18,Eyimo Outreach,"Ikorodu, Lagos, Nigeria",,2020-05-05,2.0,,"Place(_api=<tweepy.api.API object at 0x11430af10>, id='01e9308446d7928e', url='https://api.twitter.com/1.1/geo/id/01e9308446d7928e.json', place_type='city', name='Ikorudu', full_name='Ikorudu, Nigeria', country_code='NG', country='Nigeria', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x11430af10>, type='Polygon', coordinates=[[[3.4374437, 6.529347], [3.5733824, 6.529347], [3.5733824, 6.722446], [3.4374437, 6.722446]]]), attributes={})",Twitter for Android,"[6.6258965, 3.5054130499999996]"
4304,"Happy World #HandHygiene Day!
#stopthespread #staysafe #handsanitizer https://t.co/b6ketftmyy",1.2577706547759557e+18,Manjit Minhas,"Calgary, Alberta",,2020-05-05,14.0,,"Place(_api=<tweepy.api.API object at 0x11430af10>, id='0fc3b8425b142002', url='https://api.twitter.com/1.1/geo/id/0fc3b8425b142002.json', place_type='poi', name='Minhas Micro Brewery', full_name='Minhas Micro Brewery', country_code='CA', country='Canada', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x11430af10>, type='Polygon', coordinates=[[[-114.03163167299306, 51.0919692891946], [-114.03163167299306, 51.0919692891946], [-114.03163167299306, 51.0919692891946], [-114.03163167299306, 51.0919692891946]]]), attributes={})",Twitter for Android,"[51.0919692891946, -114.03163167299306]"
4365,"Visita nuestro blog y conoce más acerca de la aplicación correcta🧴👏🏾del antibacterial.⁣
 ⁣
https://t.co/owtoLks78n… https://t.co/8B0hokiLsf",1.2574426555812004e+18,SentinalHealth,,,2020-05-04,0.0,,"Place(_api=<tweepy.api.API object at 0x11430af10>, id='00698bbe577bad5b', url='https://api.twitter.com/1.1/geo/id/00698bbe577bad5b.json', place_type='city', name='Medellín', full_name='Medellín, Colombia', country_code='CO', country='Colombia', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x11430af10>, type='Polygon', coordinates=[[[-75.7316530015595, 6.16605899574181], [-75.5067729989301, 6.16605899574181], [-75.5067729989301, 6.37570699956419], [-75.7316530015595, 6.37570699956419]]]), attributes={})",AgoraPulse Manager,"[6.2708829976530005, -75.6192130002448]"
4373,"Made some hand sanitizer. WHO's recipe. Added some tea tree oil . Yeah, somebody told me there was a pandemic.… https://t.co/5pT1sSpdUe",1.2574332212450836e+18,davanna,Florida Gulf Coast 🌴,"{'type': 'Point', 'coordinates': [-82.7643, 27.9736]}",2020-05-04,0.0,"{'type': 'Point', 'coordinates': [27.9736, -82.7643]}","Place(_api=<tweepy.api.API object at 0x11430af10>, id='700eeb799fa55a4b', url='https://api.twitter.com/1.1/geo/id/700eeb799fa55a4b.json', place_type='city', name='Clearwater', full_name='Clearwater, FL', country_code='US', country='United States', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x11430af10>, type='Polygon', coordinates=[[[-82.831674, 27.935178], [-82.679007, 27.935178], [-82.679007, 28.050243], [-82.831674, 28.050243]]]), attributes={})",Instagram,"[27.992710499999998, -82.7553405]"
4392,"Just having fun while partnering with our local distiller 
#handsanitizer in a box #prescription #HealthcareHeroes… https://t.co/OjB7AbHDKC",1.257417728471728e+18,Long D. Trinh PharmD.MS.MBA.BCPS,"Portland, OR",,2020-05-04,0.0,,"Place(_api=<tweepy.api.API object at 0x11430af10>, id='ac88a4f17a51c7fc', url='https://api.twitter.com/1.1/geo/id/ac88a4f17a51c7fc.json', place_type='city', name='Portland', full_name='Portland, OR', country_code='US', country='United States', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x11430af10>, type='Polygon', coordinates=[[[-122.7900653, 45.421863], [-122.471751, 45.421863], [-122.471751, 45.6509405], [-122.7900653, 45.6509405]]]), attributes={})",Twitter for Android,"[45.536401749999996, -122.63090815]"
4393,"Local gin distiller produce alcohol hand sanitizer for our Health-System in Oregon 🦸‍♀️🦸‍♂️👏👏
#ThanksHealthHeroes… https://t.co/StdB6tyZBW",1.2574165392145777e+18,Long D. Trinh PharmD.MS.MBA.BCPS,"Portland, OR",,2020-05-04,0.0,,"Place(_api=<tweepy.api.API object at 0x11430af10>, id='ac88a4f17a51c7fc', url='https://api.twitter.com/1.1/geo/id/ac88a4f17a51c7fc.json', place_type='city', name='Portland', full_name='Portland, OR', country_code='US', country='United States', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x11430af10>, type='Polygon', coordinates=[[[-122.7900653, 45.421863], [-122.471751, 45.421863], [-122.471751, 45.6509405], [-122.7900653, 45.6509405]]]), attributes={})",Twitter for Android,"[45.536401749999996, -122.63090815]"
4408,"📣hand sanitizer update📣

We are happy to say all hand sanitizer lead times are at 6-8 weeks after art approval! Get… https://t.co/O3x4FgkkmI",1.2574030585537495e+18,Spartan Promotional Group,"St. Paul, Minnesota","{'type': 'Point', 'coordinates': [-92.95983, 44.95905]}",2020-05-04,0.0,"{'type': 'Point', 'coordinates': [44.95905, -92.95983]}","Place(_api=<tweepy.api.API object at 0x11430af10>, id='8dc3b0709714ce66', url='https://api.twitter.com/1.1/geo/id/8dc3b0709714ce66.json', place_type='city', name='Oakdale', full_name='Oakdale, MN', country_code='US', country='United States', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x11430af10>, type='Polygon', coordinates=[[[-92.984869, 44.948501], [-92.9342265, 44.948501], [-92.9342265, 45.034285], [-92.984869, 45.034285]]]), attributes={})",Instagram,"[44.991393, -92.95954775]"
4450,Or use disinfectant on all your packages then wash your hands with antibacterial hand wash??? https://t.co/MkerBhDrEE,1.2603588567372513e+18,Ayy West 🇩🇯,South Acton,,2020-05-12,0.0,,"Place(_api=<tweepy.api.API object at 0x11430af10>, id='7093398a4249d151', url='https://api.twitter.com/1.1/geo/id/7093398a4249d151.json', place_type='city', name='Ealing', full_name='Ealing, London', country_code='GB', country='United Kingdom', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x11430af10>, type='Polygon', coordinates=[[[-0.351597, 51.491866], [-0.243263, 51.491866], [-0.243263, 51.537638], [-0.351597, 51.537638]]]), attributes={})",Twitter for iPhone,"[51.514752, -0.29742999999999997]"
4565,Medical Grade Household Disinfectant coming later this week. Get hype. 🖖🏿✊🏿🖖🏿✊🏿🖖🏿✊🏿🖖🏿😊🖖🏿✊🏿👍🏾🤴🏾🤴🏾🤴🏾✊🏿🖖🏿,1.259996009150759e+18,The Butters Hygienics Co.,"Ypsilanti, MI",,2020-05-11,4.0,,"Place(_api=<tweepy.api.API object at 0x11430af10>, id='0049088b1906e51b', url='https://api.twitter.com/1.1/geo/id/0049088b1906e51b.json', place_type='city', name='Ypsilanti', full_name='Ypsilanti, MI', country_code='US', country='United States', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x11430af10>, type='Polygon', coordinates=[[[-83.661476, 42.165629], [-83.542129, 42.165629], [-83.542129, 42.3257971], [-83.661476, 42.3257971]]]), attributes={})",Twitter for Android,"[42.245713050000006, -83.60180249999999]"
4639,@CHE_V_ELLE @Airplaneguy2 @Pats162 @GrahamAllen_1 @realDonaldTrump Yeah it's been 4 years in and there's still no p… https://t.co/DIaUwpqqkH,1.25963432160392e+18,Jasmine,Atlanta,,2020-05-10,7.0,,"Place(_api=<tweepy.api.API object at 0x11430af10>, id='7142eb97ae21e839', url='https://api.twitter.com/1.1/geo/id/7142eb97ae21e839.json', place_type='admin', name='Georgia', full_name='Georgia, USA', country_code='US', country='United States', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x11430af10>, type='Polygon', coordinates=[[[-85.605166, 30.355644], [-80.742567, 30.355644], [-80.742567, 35.000771], [-85.605166, 35.000771]]]), attributes={})",Twitter for Android,"[32.6782075, -83.1738665]"
4730,"@PracticalVoter Other stuff is matter of opinion, on all sides what is thought of as to judges and Media is politic… https://t.co/R6sOqdwY37",1.2596298701890683e+18,Troy Davis,"Erie, PA",,2020-05-10,0.0,,"Place(_api=<tweepy.api.API object at 0x11430af10>, id='29aaa88d9fe74b50', url='https://api.twitter.com/1.1/geo/id/29aaa88d9fe74b50.json', place_type='city', name='Erie', full_name='Erie, PA', country_code='US', country='United States', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x11430af10>, type='Polygon', coordinates=[[[-80.239991, 42.018414], [-79.934073, 42.018414], [-79.934073, 42.202992], [-80.239991, 42.202992]]]), attributes={})",Twitter for Android,"[42.110703, -80.087032]"
4775,Some news media noodlehead advised us to be sure to disinfect at home. . .using disinfectant spray and/or rubbing a… https://t.co/yjfwutwmYF,1.2592700702258217e+18,Vince Mattaliano,"New Jersey,  USA",,2020-05-09,2.0,,"Place(_api=<tweepy.api.API object at 0x11430af10>, id='01489e6d380fb511', url='https://api.twitter.com/1.1/geo/id/01489e6d380fb511.json', place_type='city', name='Pequannock', full_name='Pequannock, NJ', country_code='US', country='United States', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x11430af10>, type='Polygon', coordinates=[[[-74.33352, 40.935009], [-74.277019, 40.935009], [-74.277019, 40.988154], [-74.33352, 40.988154]]]), attributes={})",Twitter for Android,"[40.9615815, -74.3052695]"
4838,its like the longer the job title the less you get paid like whats a silicone based disinfectant technician,1.2589092548130898e+18,juan minus juan,Jamaica,,2020-05-08,1.0,,"Place(_api=<tweepy.api.API object at 0x11430af10>, id='d66ca907ceb62690', url='https://api.twitter.com/1.1/geo/id/d66ca907ceb62690.json', place_type='country', name='Jamaica', full_name='Jamaica', country_code='JM', country='Jamaica', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x11430af10>, type='Polygon', coordinates=[[[-78.3688776, 17.7057855], [-76.183028, 17.7057855], [-76.183028, 18.5250291], [-78.3688776, 18.5250291]]]), attributes={})",Twitter for Android,"[18.1154073, -77.2759528]"
4860,Disinfect the disinfectant bottle too https://t.co/ikUA8MEzBS,1.2589081462879396e+18,Sev3n,Durban,,2020-05-08,0.0,,"Place(_api=<tweepy.api.API object at 0x11430af10>, id='9d7cae88ff6a29f5', url='https://api.twitter.com/1.1/geo/id/9d7cae88ff6a29f5.json', place_type='city', name='Durban', full_name='Durban, South Africa', country_code='ZA', country='South Africa', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x11430af10>, type='Polygon', coordinates=[[[30.8789097, -30.055938], [31.0662492, -30.055938], [31.0662492, -29.7453336], [30.8789097, -29.7453336]]]), attributes={})",Twitter for iPhone,"[-29.9006358, 30.972579450000005]"
5028,"@WCPSS when school is back in session, will you allow teachers to use disinfectant wipes and hand sanitizer in clas… https://t.co/R9FLufENUy",1.2581847380927857e+18,Hank Dickson,"Holly Springs, NC 27540",,2020-05-06,0.0,,"Place(_api=<tweepy.api.API object at 0x11430af10>, id='5e7f701fa7e8322a', url='https://api.twitter.com/1.1/geo/id/5e7f701fa7e8322a.json', place_type='city', name='Holly Springs', full_name='Holly Springs, NC', country_code='US', country='United States', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x11430af10>, type='Polygon', coordinates=[[[-78.915462, 35.6155946], [-78.7676195, 35.6155946], [-78.7676195, 35.6921762], [-78.915462, 35.6921762]]]), attributes={})",Twitter for iPad,"[35.6538854, -78.84154075000001]"
5032,@StuPolitics Those are the ones at State Houses with Guns &amp; Hitler Flagg’s calling POISON CONTROL about DRINKING DI… https://t.co/oe5fPlxzxe,1.258184475785257e+18,DR. It Is What It Is,,,2020-05-06,0.0,,"Place(_api=<tweepy.api.API object at 0x11430af10>, id='4ec01c9dbc693497', url='https://api.twitter.com/1.1/geo/id/4ec01c9dbc693497.json', place_type='admin', name='Florida', full_name='Florida, USA', country_code='US', country='United States', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x11430af10>, type='Polygon', coordinates=[[[-87.634643, 24.396308], [-79.974307, 24.396308], [-79.974307, 31.001056], [-87.634643, 31.001056]]]), attributes={})",Twitter for iPhone,"[27.698681999999998, -83.804475]"
5092,wonder if it has anything to do with people injecting themselves with disinfectant https://t.co/IqF2zcZSxO,1.2581811837683425e+18,Olivia McGuirt,,,2020-05-06,1.0,,"Place(_api=<tweepy.api.API object at 0x11430af10>, id='efc250826c29bfea', url='https://api.twitter.com/1.1/geo/id/efc250826c29bfea.json', place_type='city', name='Mauldin', full_name='Mauldin, SC', country_code='US', country='United States', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x11430af10>, type='Polygon', coordinates=[[[-82.3337776, 34.741098], [-82.255239, 34.741098], [-82.255239, 34.826378], [-82.3337776, 34.826378]]]), attributes={})",Twitter for iPhone,"[34.783738, -82.2945083]"
5114,@TheTNHoller @TNDemocrats @GovBillLee @ClassWallet registration verification done via https://t.co/JxzxG5BUwz is a… https://t.co/QUSU4fCwEZ,1.258179958737961e+18,AmeriCanna Blunt,"Tennessee, USA",,2020-05-06,1.0,,"Place(_api=<tweepy.api.API object at 0x11430af10>, id='7f7d58e5229c6b6c', url='https://api.twitter.com/1.1/geo/id/7f7d58e5229c6b6c.json', place_type='admin', name='Tennessee', full_name='Tennessee, USA', country_code='US', country='United States', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x11430af10>, type='Polygon', coordinates=[[[-90.310298, 34.982924], [-81.646901, 34.982924], [-81.646901, 36.678119], [-90.310298, 36.678119]]]), attributes={})",Twitter for Android,"[35.8305215, -85.9785995]"
5239,Watching Travis cook is mortifying. He literally contaminants everything and I just cringe bc I know I’m going to h… https://t.co/Wdgu2fL95J,1.2574595222994084e+18,Jasmine🌼,"San Antonio, TX",,2020-05-04,1.0,,"Place(_api=<tweepy.api.API object at 0x11430af10>, id='e0060cda70f5f341', url='https://api.twitter.com/1.1/geo/id/e0060cda70f5f341.json', place_type='admin', name='Texas', full_name='Texas, USA', country_code='US', country='United States', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x11430af10>, type='Polygon', coordinates=[[[-106.645646, 25.837092], [-93.508131, 25.837092], [-93.508131, 36.500695], [-106.645646, 36.500695]]]), attributes={})",Twitter for iPhone,"[31.168893500000003, -100.0768885]"
5332,"Amazon fail🤦‍♀️
.
.
amazon #amazon #amazonprime #toiletpaper #toiletpapercrisis #covid19 #coronavirus #fail… https://t.co/i7yejijKjm",1.2603493348910572e+18,Dory Mariana-Thérèse,"Hamilton, ON","{'type': 'Point', 'coordinates': [-79.8761, 43.26]}",2020-05-12,0.0,"{'type': 'Point', 'coordinates': [43.26, -79.8761]}","Place(_api=<tweepy.api.API object at 0x11430af10>, id='4939b600461c30a4', url='https://api.twitter.com/1.1/geo/id/4939b600461c30a4.json', place_type='city', name='Hamilton', full_name='Hamilton, Ontario', country_code='CA', country='Canada', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x11430af10>, type='Polygon', coordinates=[[[-80.248423, 43.050553], [-79.578618, 43.050553], [-79.578618, 43.470838], [-80.248423, 43.470838]]]), attributes={})",Instagram,"[43.2606955, -79.9135205]"
5337,Das Toiletpaper-Tool - wer hat es nicht https://t.co/rz1lUa9p7O,1.260344774323835e+18,Lupo 🇪🇺,Mainz | Europäische Union,,2020-05-12,0.0,,"Place(_api=<tweepy.api.API object at 0x11430af10>, id='cc5401f65b0ddc7b', url='https://api.twitter.com/1.1/geo/id/cc5401f65b0ddc7b.json', place_type='city', name='Mainz', full_name='Mainz, Germany', country_code='DE', country='Germany', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x11430af10>, type='Polygon', coordinates=[[[8.142837, 49.895573], [8.343064, 49.895573], [8.343064, 50.035373], [8.142837, 50.035373]]]), attributes={})",Twitter for iPhone,"[49.965472999999996, 8.2429505]"
5345,"Y'all were so good with ""apple"" movies, let's try this!  I'll start:  Gone With the Toilet Paper!!
#Tiffanysbandb… https://t.co/9YaD5JU94h",1.2603337402800497e+18,Tiffany's B & B,"Bismarck, Arkansas, USA","{'type': 'Point', 'coordinates': [-93.2968314, 34.3483744]}",2020-05-12,0.0,"{'type': 'Point', 'coordinates': [34.3483744, -93.2968314]}","Place(_api=<tweepy.api.API object at 0x11430af10>, id='e8ad2641c1cb666c', url='https://api.twitter.com/1.1/geo/id/e8ad2641c1cb666c.json', place_type='admin', name='Arkansas', full_name='Arkansas, USA', country_code='US', country='United States', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x11430af10>, type='Polygon', coordinates=[[[-94.61771, 33.004106], [-89.644838, 33.004106], [-89.644838, 36.499767], [-94.61771, 36.499767]]]), attributes={})",Instagram,"[34.7519365, -92.13127399999999]"
